,Municipality,Total,BE,CDS-PP,PAN,PCP-PEV,PPD/PSD,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
32,Póvoa de Varzim,32070,1485,4525,257.0,1346.0,16077.0,7611.0,769.0,PPD/PSD,0.5013096351730589,63494,10575,43902,9017,0.16655117018930923,0.6914354112199578,0.142013418590733,52991,4357,15051.0,9383.0,9972.0,7858.0,6370.0,0.08222150931290219,0.28402936347681684,0.17706780396671132,0.18818289898284615,0.14828933215074258,0.12020909210998094,741.7,9,0.09,"(41.3803685, -8.7609294)",41.3803685,-8.7609294
33,Santa Maria da Feira,72185,4408,6861,561.0,2913.0,30617.0,24578.0,2247.0,PPD/PSD,0.4241462907806331,139706,21706,97581,20420,0.15536913232073069,0.69847393812721,0.14616408744076848,117270,10799,35941.0,19825.0,21968.0,16561.0,12176.0,0.09208663767374435,0.3064807708706404,0.16905431909269208,0.1873283874818794,0.14122111366931014,0.1038287712117336,808.5,9,0.09,"(40.926794, -8.5483247)",40.926794,-8.548324699999998
34,Santo Tirso,41083,1738,3535,270.0,2240.0,15785.0,16470.0,1045.0,PS,0.40089574763284086,71532,9705,49775,12053,0.1356735447072639,0.6958424201755857,0.16849801487446178,61648,5920,21374.0,9750.0,11039.0,8091.0,5474.0,0.09602906825849987,0.34671035556709057,0.15815598235141448,0.17906501427459123,0.1312451336620815,0.08879444588632235,708.6,13.4,0.134,"(41.3431376, -8.4738078)",41.3431376,-8.473807800000001
35,São João da Madeira,11844,720,1343,107.0,672.0,4792.0,3888.0,322.0,PPD/PSD,0.40459304289091524,21736,3151,15198,3387,0.14496687523003313,0.6992086860507913,0.15582443871917556,18587,1285,5089.0,2697.0,3787.0,3247.0,2482.0,0.0691343412062194,0.2737935115941249,0.14510141496745038,0.2037445526443213,0.17469198902458707,0.13353419056329693,783.5,7,0.07,"(40.90052379999999, -8.490671599999999)",40.900523799999995,-8.4906716
36,Trofa,20799,849,2116,127.0,947.0,9415.0,6730.0,615.0,PPD/PSD,0.4526659935573826,39022,6001,27940,5081,0.15378504433396545,0.7160063553892676,0.13020860027676695,32924,2644,10209.0,5425.0,6656.0,5075.0,2915.0,0.08030615964038391,0.31007775482930383,0.16477341756773176,0.20216255619001336,0.15414287449884584,0.0885372372737213,819.9,12.7,0.127,"(41.3389988, -8.559548800000002)",41.3389988,-8.559548800000002
37,Vale de Cambra,13217,555,2584,103.0,355.0,5909.0,3348.0,363.0,PPD/PSD,0.4470757357948097,22839,2846,15269,4725,0.12461141030693113,0.6685494110950567,0.20688296335216078,19965,2458,6491.0,3079.0,3349.0,2700.0,1888.0,0.12311545204107188,0.3251189581768094,0.15421988479839718,0.16774355121462559,0.135236664162284,0.09456548960681192,855.0,4.4,0.044000000000000004,"(40.8429643, -8.395616799999999)",40.8429643,-8.3956168
38,Valongo,47966,2910,4462,522.0,3747.0,17995.0,16733.0,1597.0,PPD/PSD,0.37516157278071965,94239,15577,66203,12459,0.1652925009815469,0.7025010876600982,0.13220641135835481,78319,5562,21977.0,11843.0,15730.0,13833.0,9374.0,0.07101724996488719,0.280608792247092,0.15121490315249173,0.20084526104776618,0.17662380776056896,0.11968998582719391,757.4,11.6,0.11599999999999999,"(41.188745, -8.4983411)",41.188745000000004,-8.4983411
39,Vila do Conde,38966,2162,3541,330.0,2004.0,16338.0,13481.0,1110.0,PPD/PSD,0.4192886105835857,79723,12907,55198,11619,0.16189807207455817,0.6923723392245651,0.1457421321325088,66602,5488,20096.0,11110.0,12488.0,9685.0,7735.0,0.0823999279300922,0.30173268070027925,0.16681180745322963,0.1875018768205159,0.1454160535719648,0.1161376535239182,822.2,9,0.09,"(41.3519329, -8.747142300000002)",41.351932899999994,-8.7471423
40,Vila Nova de Gaia,157439,10004,16565,1654.0,12057.0,60522.0,51916.0,4721.0,PPD/PSD,0.384415551419915,302986,47057,210170,45759,0.1553108064399015,0.6936624134448456,0.15102678011525286,255654,18851,70853.0,33970.0,49801.0,44228.0,37951.0,0.07373637807348996,0.2771441088345968,0.13287490123369866,0.19479843851455483,0.17299944456179053,0.14844672878186924,873.2,13.6,0.136,"(41.1238759, -8.611785099999999)",41.123875899999994,-8.611785099999999
41,Boticas,3813,35,150,11.0,88.0,2605.0,848.0,76.0,PPD/PSD,0.6831890899554157,5731,576,3390,1765,0.10050601989181644,0.591519804571628,0.3079741755365556,5169,1269,2053.0,575.0,513.0,501.0,258.0,0.24550203134068485,0.3971754691429677,0.11124008512284775,0.09924550203134068,0.09692396982008125,0.04991294254207777,618.2,8.4,0.084,"(41.6984124, -7.6710889)",41.6984124,-7.671088900000001
