,Municipality,Total,BE,NC,PAN,PCP-PEV,PPD/PSD.CDS-PP,PS,Others,Winning_Party,Winning_Party_Fraction_Votes,Total_Number_People_x,Total_0-14,Total_15-65,Total_65>,Fraction_0-14,Fraction_15-65,Fraction_65>,Total_Number_People_y,Without_Education,Basic_First_Cycle,Basic_Second_Cycle,Basic_Third_Cycle,Secondary,Superior,Fraction_Without_Education,Fraction_Basic_First_Cycle,Fraction_Basic_Second_Cycle,Fraction_Basic_Third_Cycle,Fraction_Secondary,Fraction_Superior,Total_Average_income,Unemployment_%Rate,Unemployment_Rate,Coordinates,x,y
171,Almeida,3646,225,10,27,168,1854,1185,177,PPD/PSD.CDS-PP,0.5085024684585847,6394,417,3677,2301,0.06521739130434782,0.5750703784798248,0.3598686268376603,6650,1150,2591.0,608.0,1005.0,831.0,465.0,0.17293233082706766,0.38962406015037593,0.09142857142857143,0.1511278195488722,0.1249624060150376,0.06992481203007518,646.6,4.8,0.048,"(40.7254048, -6.905594199999999)",40.72540479999999,-6.9055941999999995
172,Belmonte,3226,371,9,14,265,917,1458,192,PS,0.4519528828270304,6554,690,4214,1650,0.1052792187976808,0.6429661275556912,0.251754653646628,6051,988,2069.0,704.0,954.0,849.0,487.0,0.16327879689307553,0.34192695422244257,0.11634440588332506,0.1576598909271195,0.14030738720872582,0.08048256486531152,649.8,9.9,0.099,"(40.351063, -7.3408535)",40.351063,-7.340853500000001
173,Celorico da Beira,4166,337,12,30,135,2082,1428,142,PPD/PSD.CDS-PP,0.499759961593855,7284,816,4319,2149,0.11202635914332784,0.592943437671609,0.2950302031850632,6755,1312,2482.0,598.0,1127.0,773.0,463.0,0.19422649888971133,0.3674315321983716,0.08852701702442635,0.16683937823834197,0.11443375277572168,0.0685418208734271,625.2,9.5,0.095,"(40.6335005, -7.3927217)",40.633500500000004,-7.3927217
174,Covilhã,26658,3353,48,206,2828,6959,12061,1203,PS,0.45243454122589843,48964,5709,30793,12463,0.11659586635078834,0.628890613511968,0.2545339433052855,45428,5682,13591.0,4863.0,8242.0,7229.0,5821.0,0.12507704499427666,0.2991767192040151,0.10704851633353879,0.18142995509377477,0.1591309324645593,0.12813683190983535,745.9,9.8,0.098,"(40.2804158, -7.4922407)",40.2804158,-7.492240700000001
175,Figueira de Castelo Rodrigo,3056,173,4,30,87,1413,1233,116,PPD/PSD.CDS-PP,0.46236910994764396,5956,666,3405,1885,0.11182001343183344,0.5716924110141034,0.31648757555406315,5588,1150,2014.0,652.0,797.0,560.0,415.0,0.205798138869005,0.3604151753758053,0.11667859699355762,0.1426270579813887,0.10021474588403723,0.07426628489620615,648.2,7,0.07,"(40.8946241, -6.963561299999999)",40.8946241,-6.963561299999999
176,Fornos de Algodres,2812,158,3,10,79,1362,1096,104,PPD/PSD.CDS-PP,0.484352773826458,4809,479,2984,1346,0.09960490746516948,0.6205032231233104,0.27989186941152006,4447,866,1786.0,415.0,631.0,454.0,295.0,0.19473802563525971,0.4016190690353047,0.09332134022936811,0.1418934112885091,0.10209129750393524,0.06633685630762312,611.7,6.4,0.064,"(40.6201957, -7.539550699999999)",40.620195700000004,-7.5395506999999995
177,Fundão,14721,1856,39,137,794,5150,5985,760,PS,0.4065620542082739,27813,3190,17000,7624,0.11469456728867795,0.611224966742171,0.2741164203789595,25779,4506,8022.0,2813.0,4640.0,3348.0,2450.0,0.17479343651809612,0.31118352147096473,0.10911982621513636,0.1799914659218744,0.12987315256604212,0.09503859730788626,702.6,9.1,0.091,"(40.137963, -7.501077299999999)",40.137963,-7.5010773
178,Gouveia,7148,484,16,44,358,3294,2717,235,PPD/PSD.CDS-PP,0.4608282036933408,13192,1252,7613,4327,0.09490600363856883,0.5770921770770163,0.3280018192844148,12557,2126,4818.0,1294.0,1857.0,1356.0,1106.0,0.1693079557219081,0.3836903719041172,0.10305009158238433,0.14788564147487457,0.10798757665047384,0.08807836266624193,676.2,7.5,0.075,"(40.4923318, -7.5936526)",40.492331799999995,-7.5936525999999995
179,Guarda,21897,2337,58,346,939,9533,7730,954,PPD/PSD.CDS-PP,0.43535644152166963,40406,5107,26532,8767,0.12639211998218086,0.65663515319507,0.2169727268227491,36708,3848,9423.0,3333.0,7689.0,6185.0,6230.0,0.10482728560531764,0.2567015364498202,0.09079764628963713,0.20946387708401437,0.16849188187860956,0.16971777269260108,773.3,7.6,0.076,"(40.5308408, -7.2221421)",40.5308408,-7.2221421
180,Manteigas,1761,169,3,5,119,640,749,76,PS,0.4253265190232822,3219,278,2054,888,0.08636222429325878,0.6380863622242933,0.27586206896551724,3087,436,1288.0,311.0,435.0,393.0,224.0,0.14123744735989635,0.41723356009070295,0.1007450599287334,0.14091350826044705,0.12730806608357628,0.07256235827664399,664.7,11.2,0.11199999999999999,"(40.4022206, -7.538339300000001)",40.4022206,-7.5383393
